crime_id,date,time,crime_type,borough,postcode,latitude,longitude,outcome,status,month,year,day_of_week,quarter,hour,deprivation_index,borough_crime_rate,distance_from_center,is_weekend,is_night,is_peak_crime_season,crime_severity_score,borough_risk_level,covid_period,postcode_area
MET202100827166,2021-03-11,22:35,Vehicle Crime,Newham,E16 2AF,51.473055,0.034448,Evidential difficulties victim supports action,Unsolved,3,2021,Thursday,Q1,22,8,128.9,14.373762550654718,0,1,0,0.978,High,Recovery,E16
MET202000255572,2020-05-17,05:01,Vehicle Crime,Westminster,W2 1CH,51.508223,-0.220047,Evidential difficulties victim supports action,Unsolved,5,2020,Sunday,Q2,5,3,349.9,14.601928763533174,1,1,0,0.978,Very High,Initial Impact,W2
MET202404157062,2024-12-09,02:04,Vehicle Crime,Waltham Forest,E10 8UA,51.622063,0.090852,Under Investigation,Pending,12,2024,Monday,Q4,2,6,86.7,23.28637882675692,0,1,1,0.978,Medium,Post-COVID,E10
MET202302555579,2023-04-06,08:45,Vehicle Crime,Barnet,N2 5QU,51.629411,-0.190635,Under Investigation,Pending,4,2023,Thursday,Q2,8,2,68.5,17.149300035746847,0,0,0,0.978,Low,Post-COVID,N2
MET202302887563,2023-08-15,01:47,Vehicle Crime,Sutton,SM1 4XK,51.394731,-0.250178,Investigation complete - no suspect identified,Unsolved,8,2023,Tuesday,Q3,1,2,62.9,22.252602087127617,0,1,0,0.978,Low,Post-COVID,SM1
MET202000321509,2020-06-22,06:45,Vehicle Crime,Southwark,SE15 8SH,51.546654,-0.114683,Under Investigation,Pending,6,2020,Monday,Q2,6,7,130.4,4.691180177844862,0,1,0,0.978,High,Initial Impact,SE15
MET202403629332,2024-05-25,02:57,Vehicle Crime,Richmond upon Thames,TW12 9NZ,51.465701,-0.355364,Evidential difficulties victim does not support action,Unsolved,5,2024,Saturday,Q2,2,1,60.7,30.08043194844998,1,1,0,0.978,Low,Post-COVID,TW12
MET202000644506,2020-12-14,05:12,Vehicle Crime,Hackney,N1 1QP,51.569272,-0.043459,Investigation complete - no suspect identified,Unsolved,12,2020,Monday,Q4,5,8,140.1,7.973007428509403,0,1,1,0.978,High,Initial Impact,N1
MET202302530585,2023-03-27,00:50,Vehicle Crime,Westminster,SW1 9GH,51.514541,-0.090963,Investigation complete - no suspect identified,Unsolved,3,2023,Monday,Q1,0,3,349.9,0.2912697952931513,0,1,0,0.978,Very High,Post-COVID,SW1
MET202403936195,2024-09-17,10:31,Vehicle Crime,Merton,CR4 7YR,51.391689,-0.214238,Investigation complete - no suspect identified,Unsolved,9,2024,Tuesday,Q3,10,3,73.1,19.416585825406024,0,0,0,0.978,Low,Post-COVID,CR4
MET202302677784,2023-05-24,01:55,Vehicle Crime,Hackney,E5 3RB,51.573429,-0.062061,Evidential difficulties victim supports action,Unsolved,5,2023,Wednesday,Q2,1,8,140.1,7.285354894526565,0,1,0,0.978,High,Post-COVID,E5
MET202201871584,2022-06-26,05:22,Vehicle Crime,Lambeth,SW9 9MK,51.471652,-0.180444,Investigation complete - no suspect identified,Unsolved,6,2022,Sunday,Q2,5,7,132.6,11.198472992539577,1,1,0,0.978,High,Post-COVID,SW9
MET202000608801,2020-11-24,08:50,Vehicle Crime,Greenwich,SE9 6YA,51.507339,0.022474,Evidential difficulties victim does not support action,Unsolved,11,2020,Tuesday,Q4,8,5,95.4,12.347555979878624,0,0,1,0.978,Medium,Initial Impact,SE9
MET202403767141,2024-07-16,19:11,Vehicle Crime,Camden,WC1 8CW,51.543503,-0.111955,Investigation complete - no suspect identified,Unsolved,7,2024,Tuesday,Q3,19,4,172.4,4.229153364151856,0,0,0,0.978,High,Post-COVID,WC1
MET202403286578,2024-01-18,03:38,Vehicle Crime,Merton,SW20 6AT,51.438328,-0.17759,Under Investigation,Pending,1,2024,Thursday,Q1,3,3,73.1,12.92329162884447,0,1,1,0.978,Low,Post-COVID,SW20
MET202101371034,2021-11-20,01:21,Vehicle Crime,Westminster,W1 3TR,51.514906,-0.189344,Under Investigation,Pending,11,2021,Saturday,Q4,1,3,349.9,11.18383339417269,1,1,1,0.978,Very High,Recovery,W1
MET202101057031,2021-06-27,01:47,Vehicle Crime,Hillingdon,UB8 8DN,51.498745,-0.466477,Investigation complete - no suspect identified,Unsolved,6,2021,Sunday,Q2,1,3,70.2,41.97587895939086,1,1,0,0.978,Low,Recovery,UB8
