token_id,contract_address,owner_wallet_address,make,model,year,vin,registration_number,category,current_value,original_value,postcode,area,area_risk_level,mint_date,mint_transaction_hash,last_transfer_date,last_transfer_hash,metadata_ipfs_hash,blockchain,token_standard,insurance_risk_score,monthly_premium_estimate,coverage_recommended,ownership_verified,vin_verified,dvla_verified,mileage,fuel_type,transmission,color,doors,total_transfers,policy_count,claims_count,last_valuation_date,created_at,updated_at
1,0x53092a17a6745a2e9b6c386706ddc8adc2ca9165,0xc70bfd6fc4a68d5165ff6132e27d27448b968cfb,Toyota,Camry,2022,WBA220496644463,DE22 BGX,standard,11680,15000,TW9 9NT,Richmond,low,2024-05-06,0x0887d6f67941df6ed0211b14d884e2faab816e911a4ae8ab7977d0082b336ca0,2023-03-31,0xbad0635ab05820df6a5e19cee70fa564b53bd7dc6784f4b6eeadabe35223160f,QmSjXi29iw5oE5mDQbaQ6RM9yD3WXa6KXk348mL2z35vTH,BlockDAG,ERC-721,37.668,1,standard,True,False,False,95292,Hybrid,Automatic,Grey,2,2,2,0,2023-03-12,2024-05-06,2023-03-31
2,0xa9cebc93d7ab1ad5d2c0f977e7619869a0efd44d,0x219fb2bd78f1d844bf971a91a00843f964d2db01,Porsche,Cayenne,2006,WP0067135172129,BC06 BWF,sports,11280,55000,E1 6WL,Tower Hamlets,high,2020-05-02,0xe4eddbfc35da911554083ef0ae8d4ae39a30cf82853b6a13d0f14de2c489e508,2023-11-06,0x50cb276b25f9e704e4fe2c4ba27c770e18dd6042b3e145c3d83a4c5b74c5428d,QmGiS6M9yNSnNAGVrTmyKQG4KYMCVuWVXMahivXhj5Lh3t,BlockDAG,ERC-721,80.628,3,standard,True,True,False,97564,Hybrid,Manual,White,4,4,1,0,2024-10-17,2020-05-02,2023-11-06
3,0xa9cebc935900daec03399a4c6e06f32ab3b0259b,0x3dc636d0ad3f80820c2c0745c920af18a9273d09,Porsche,Panamera,2012,WP0122090199117,EF12 RGY,sports,20295,60000,W1 9WI,Mayfair,high,2023-06-14,0x5d15a6089354a5289cf30c12f5c37bb37ed93b74fd4a190c74f47d862c1f8c03,2024-08-24,0x1ec436662a31eb03b76701dc2f5606bb6e504dda1dc019eb7959d158388e6e8c,QmN2UBGJQ91Ej3Ng6WcjaEi2TpRK35WTucZiY2hZoW11jz,BlockDAG,ERC-721,78.5295,6,standard,True,False,True,110081,Petrol,Automatic,White,3,2,2,1,2024-07-26,2023-06-14,2024-08-24
4,0xfac8f46f44e581a5c66ef570c523237d3e995e37,0x43d4ea0c049ec278b4f0296a9f19eecc4de5df94,Jaguar,E-Type,2021,SAJ214114508916,BC21 TYJ,luxury,42983,60000,W1 9NS,Mayfair,high,2021-11-15,0x28c8fd6aa66d80dc387b0af9663e18da7fc765fc2789e981bed4075190eb29bf,2023-09-27,0x2e3b349006316397a118e24122efd973f4fbe684b5e9b6bba418b006b02a3615,QmxWTBqHWQCGbRgHVKQ51AdeMV1HCTWCxWrHVMrRDjgvoi,BlockDAG,ERC-721,88.89829999999999,16,comprehensive,False,True,True,107471,Diesel,Manual,Red,4,1,0,1,2023-10-21,2021-11-15,2023-09-27
5,0x92b457e4cb5344aaf0891edb1e187880581ab152,0x51dc2e53c0ef8ec552ab8d642c185a9b21c47c40,Audi,R8,2017,WAU179090669373,AB17 GIO,premium,43623,85000,W1 5FV,Mayfair,high,2021-06-05,0x4aecfb8f55156f1aac638d3b7109f254744b4b0cd7dff70c6ef0a2379899d86a,2023-04-18,0x7367ae4e970c98cfe3d15a13f275a8eab8104b45baf0973de20a0f83b82c06d9,QmvcCRqMDD31119pdxSbvBve2o4PudRdA8BH9miSDLCDQm,BlockDAG,ERC-721,68.3623,12,comprehensive,True,True,True,149330,Diesel,Manual,Silver,3,2,2,0,2023-05-28,2021-06-05,2023-04-18
6,0x53092a17e80faab6a961b67b5a4914a8defa4a55,0x8df22cc6437991e76f9a01fe701e88407d2155b6,Toyota,Corolla,2000,WBA006455683594,ABE TCV,standard,1243,10000,EN1 4HZ,Enfield,medium,2023-02-13,0x2da35a74e86d169afa8c4518661d04a02cf0e9f0386bd0860b9f5b05cb89ec46,2024-07-27,0xf0083f1e5ad6b74c8cb848ed914d9eb924f2081120591e577e83dc3a8bd9d49d,QmD1MM7AJ7uAb7SYUXkgiHjuEDVjT3UmQTSMP68b9veeD7,BlockDAG,ERC-721,52.6243,0,standard,False,False,False,58032,Electric,Manual,White,2,3,2,0,2024-01-04,2023-02-13,2024-07-27
7,0x6c5b90cea7c73af32f56ee8e001076c1a180ad1a,0x811060c2c328b19f1198a13379cfd14e8fb98fbb,Ferrari,F40,2003,ZFF035423942006,EF03 WJU,supercar,31942,200000,E1 2AT,Tower Hamlets,high,2021-09-23,0xa65ebc0cc13eded6d92e771ddd9a39a717585ed0e118e9c887b9a16e7b92d829,2023-12-17,0x2b43b1ebe504a65da64bb291d67fa789c06ae4f729ae58ff8d2aee4cf002fcdf,Qmu9UR1PYv6PEYFbGD6hMw6BMSgfFCdvkyRqxF2jmdtmZQ,BlockDAG,ERC-721,95.0,12,comprehensive,True,True,True,87785,Electric,Automatic,Grey,2,4,1,0,2023-11-10,2021-09-23,2023-12-17
8,0xfac8f46f77f3f8797d498608ad38a2f1087cebff,0xf5430dd1539eadf33ffdd2c44298553cd68bd347,Jaguar,F-Type,2022,SAJ226981373680,DE22 KAC,luxury,23360,30000,CR0 6FU,Croydon,medium,2023-07-28,0x10de9c7252142d5f403fe5c8c85aeeed0e3c06a9a20f6a6a7fdb9c5a2948f88a,2023-09-24,0x809d001ac724d546775285c77602b801a385b77dc459de0d10c6f7c8df607e86,QmKXQNSHYiRaHVGhTr2AL2T1pC8JGzZ29G7kvLzv4SkHbZ,BlockDAG,ERC-721,82.036,6,standard,False,True,True,61286,Electric,Manual,Black,2,1,1,1,2023-01-09,2023-07-28,2023-09-24
9,0xa9cebc93a3196cb157e5221fb12e3d942901caff,0xb96d5ce82e72f6e7993cf9a033a6bd2e6d5dc941,Porsche,Panamera,2015,WP0154356168601,DE15 BNF,sports,26063,60000,E1 3NG,Tower Hamlets,high,2023-05-29,0x1d42e0a1edf9c3c1a7acc78ee7ba00efce95031e4737c5db2f5422d419940c00,2024-05-27,0xb6773e084f80f05a2b1d12240aaa81784c51852091213b728b50c741860fb8eb,QmaSvAexqbVrswX7nr2YwWQEs1oJmTRRv88eYrZb8bvYuw,BlockDAG,ERC-721,77.6063,8,standard,True,True,True,7808,Electric,Manual,Grey,3,1,2,0,2023-02-09,2023-05-29,2024-05-27
10,0x53092a173c0f9d09e774cd9f900306fb184ec34e,0x89ce873783decc755fed9765a784197688b17afb,Toyota,Prius,2007,WBA070255686797,AB07 LVB,standard,2675,12000,EN1 4RP,Enfield,medium,2023-02-11,0xaaa629d3c66290f78c85358c24d00fe2a7f96581a47344478b0c9b9b875783e4,2024-12-05,0x02bd094a583aad0a1c768356a3e2423b1a00b5695b9a936365a35ca837c57912,QmzU2zJPL78v3jPegmrk3n4VxV3i3aMWLc9SuAqb3NNcMn,BlockDAG,ERC-721,49.2675,0,standard,True,False,True,126951,Electric,Automatic,Silver,2,2,2,0,2023-12-29,2023-02-11,2024-12-05
