postcode,borough,crime_type,date,borough_risk_level,borough_crime_rate,training_text,risk_score,premium_multiplier
E16 2AF,Newham,Vehicle Crime,2021-03-11,High,128.9,"Crime Data: Vehicle Crime in Newham (E16 2AF)
Date: 2021-03-11 at 22:35
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 128.9, High risk area, High time risk
Assessment: Vehicles in E16 2AF area have high theft risk due to 128.9 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",58.89,1.2
W2 1CH,Westminster,Vehicle Crime,2020-05-17,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (W2 1CH)
Date: 2020-05-17 at 05:01
Outcome: Evidential difficulties victim supports action
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in W2 1CH area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
E10 8UA,Waltham Forest,Vehicle Crime,2024-12-09,Medium,86.7,"Crime Data: Vehicle Crime in Waltham Forest (E10 8UA)
Date: 2024-12-09 at 02:04
Outcome: Under Investigation
Risk Factors: Borough crime rate 86.7, Medium risk area, High time risk
Assessment: Vehicles in E10 8UA area have medium theft risk due to 86.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",48.67,1.0
N2 5QU,Barnet,Vehicle Crime,2023-04-06,Low,68.5,"Crime Data: Vehicle Crime in Barnet (N2 5QU)
Date: 2023-04-06 at 08:45
Outcome: Under Investigation
Risk Factors: Borough crime rate 68.5, Low risk area, Medium time risk
Assessment: Vehicles in N2 5QU area have low theft risk due to 68.5 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",27.85,0.8
SM1 4XK,Sutton,Vehicle Crime,2023-08-15,Low,62.9,"Crime Data: Vehicle Crime in Sutton (SM1 4XK)
Date: 2023-08-15 at 01:47
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 62.9, Low risk area, High time risk
Assessment: Vehicles in SM1 4XK area have low theft risk due to 62.9 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.29,0.8
SE15 8SH,Southwark,Vehicle Crime,2020-06-22,High,130.4,"Crime Data: Vehicle Crime in Southwark (SE15 8SH)
Date: 2020-06-22 at 06:45
Outcome: Under Investigation
Risk Factors: Borough crime rate 130.4, High risk area, High time risk
Assessment: Vehicles in SE15 8SH area have high theft risk due to 130.4 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",59.04,1.2
TW12 9NZ,Richmond upon Thames,Vehicle Crime,2024-05-25,Low,60.7,"Crime Data: Vehicle Crime in Richmond upon Thames (TW12 9NZ)
Date: 2024-05-25 at 02:57
Outcome: Evidential difficulties victim does not support action
Risk Factors: Borough crime rate 60.7, Low risk area, High time risk
Assessment: Vehicles in TW12 9NZ area have low theft risk due to 60.7 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",37.07,0.8
N1 1QP,Hackney,Vehicle Crime,2020-12-14,High,140.1,"Crime Data: Vehicle Crime in Hackney (N1 1QP)
Date: 2020-12-14 at 05:12
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 140.1, High risk area, High time risk
Assessment: Vehicles in N1 1QP area have high theft risk due to 140.1 crime rate per 1000 residents.
Insurance Impact: Medium premium adjustment (+10-20%)",60.01,1.2
SW1 9GH,Westminster,Vehicle Crime,2023-03-27,Very High,349.9,"Crime Data: Vehicle Crime in Westminster (SW1 9GH)
Date: 2023-03-27 at 00:50
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 349.9, Very High risk area, High time risk
Assessment: Vehicles in SW1 9GH area have very high theft risk due to 349.9 crime rate per 1000 residents.
Insurance Impact: High premium adjustment (+20-30%)",75.0,1.3
CR4 7YR,Merton,Vehicle Crime,2024-09-17,Low,73.1,"Crime Data: Vehicle Crime in Merton (CR4 7YR)
Date: 2024-09-17 at 10:31
Outcome: Investigation complete - no suspect identified
Risk Factors: Borough crime rate 73.1, Low risk area, Medium time risk
Assessment: Vehicles in CR4 7YR area have low theft risk due to 73.1 crime rate per 1000 residents.
Insurance Impact: Standard premium rates",28.31,0.8
